run_key,step,run_id,manifest_path,manifest_sha256,role,recreates_claims,caveat,is_run_manifest,output_count,member_count,row_count,git_commit,git_tracked_dirty,dataset_sha256,checkpoint_sha256,command,config_path_or_inline,pins_evidence_artifacts
S00,S00,cpu-top-member-64positive-rows,reports/xai/S14_artifacts/upstream_manifests/S00.json,b5108926fabfe46ee530115bcd89de11d0a58d25a9c7238fd2dd6d101b20f69c,registered_smoke,True,Infrastructure smoke only; legacy manifest lacks git_tree and git_tracked_dirty.,True,2,1,64,8ea5c2e6cd1149e7f36d933bfeaf36d6672b24b6,not_recorded,9d8fa52f93f2782ad9948a38bf46943c0cd6df78cd08b94a006dad4e06c1c8ad,d5e092348514a5ee85b68bcdcf51dbb32eaa344beea1daa28f5aaeba9e86eefb,"[""scripts/xai_smoke.py"",""--config"",""configs/xai/S00_smoke.json""]",manifest.config,none
S01,S01,reference-audit-all100-panel2000,reports/xai/S14_artifacts/upstream_manifests/S01.json,acb2da750e6418d697ddb332727bf1eb19197034d161181d240c121eb9bbfbeb,registered_production,True,Large outputs remain ignored; command/config and hashes are retained.,True,13,100,1000,d354d25ef4f0cfbaf74be49a2dc16eb4cfab195d,False,9d8fa52f93f2782ad9948a38bf46943c0cd6df78cd08b94a006dad4e06c1c8ad,d5e092348514a5ee85b68bcdcf51dbb32eaa344beea1daa28f5aaeba9e86eefb,"[""scripts/xai_s01_audit.py"",""--config"",""configs/xai/S01_audit.json""]",manifest.config,none
S02_ORIGINAL,S02,symmetry-all100-panel2000-reference9785,reports/xai/S14_artifacts/upstream_manifests/S02_original.json,edcba9af6047e295f1a2f49337d4f45162e408fa6219006ab65630e27533f1b1,registered_production,True,Fixed-gradient rows were later refreshed; use the next index row for that correction.,True,14,100,2000,c4642a3486270730208ba7186030759c3419243e,False,9d8fa52f93f2782ad9948a38bf46943c0cd6df78cd08b94a006dad4e06c1c8ad,d5e092348514a5ee85b68bcdcf51dbb32eaa344beea1daa28f5aaeba9e86eefb,"[""scripts/xai_s02_symmetry.py"",""--config"",""configs/xai/S02_symmetry.json"",""--resume""]",manifest.config,none
S02_FIXED_REFRESH,S02,s02-fixed-refresh-all100-panel1000,reports/xai/S03_fixed_gradient_artifacts/s02_fixed_refresh_manifest.json,712a446e6614bbf7cce5b068b6e8070fa76bcbcf2aed42eb6089632a19aaee87,registered_correction,True,Refreshes affected fixed-gradient S02 statistics only.,True,6,100,1000,32ca2deb242f5f951816e19fc5d9a181b2bc79ec,True,9d8fa52f93f2782ad9948a38bf46943c0cd6df78cd08b94a006dad4e06c1c8ad,d5e092348514a5ee85b68bcdcf51dbb32eaa344beea1daa28f5aaeba9e86eefb,"[""scripts/xai_s02_fixed_refresh.py"",""--resume""]",manifest.config,none
S03_PRIMARY,S03,ladder-top10-all100-varied1000-paired2000-reviewfix,reports/xai/S14_artifacts/upstream_manifests/S03_primary.json,6fc4edcde9a0c61df424c4fe61d0e651984997a48de8f04756fb5da77a2f52fc,registered_production,True,Corrected phase rows require the separate S03 phase manifest.,True,11,100,2000,3c8a86cc33eafc3586d27c6f51c01de6ceef3467,False,9d8fa52f93f2782ad9948a38bf46943c0cd6df78cd08b94a006dad4e06c1c8ad,d5e092348514a5ee85b68bcdcf51dbb32eaa344beea1daa28f5aaeba9e86eefb,"[""scripts/xai_s03_ladder.py"",""--config"",""configs/xai/S03_ladder.json"",""--resume"",""--no-publish""]",manifest.config,none
S03_PHASE,S03,ladder-top10-all100-varied1000-paired2000-reviewfix,reports/xai/S14_artifacts/upstream_manifests/S03_phase.json,ca7ffd133f5b16187cc827c211f5148ce2e654e7f919775c3adf7659c2e77b8e,registered_correction,True,Targeted phase-matched correction; the legacy config.run_id remains the primary run ID while the exact command/output-dir identifies phase-matched-top10-all100-varied1000-review3b. Combine with S03 primary and review3_manifest.json.,True,11,100,2000,,True,9d8fa52f93f2782ad9948a38bf46943c0cd6df78cd08b94a006dad4e06c1c8ad,d5e092348514a5ee85b68bcdcf51dbb32eaa344beea1daa28f5aaeba9e86eefb,"[""scripts/xai_s03_ladder.py"",""--config"",""configs/xai/S03_ladder.json"",""--families"",""common_phase_scramble,channel_phase_scramble"",""--output-dir"",""output/xai/S03/phase-matched-top10-all100-varied1000-review3b"",""--no-publish""]",manifest.config,none
S03_PUBLICATION_VERIFICATION,S03,review3-publication-verification,reports/xai/S03_artifacts/review3_manifest.json,df9b4a10aa5c68f75481096a46278b1de6d6249d2ba543ccbdcaa49643dc9951,publication_verification,True,"Pins the corrected committed S03 publication artifacts, including ladder_summary.csv, to the primary and phase source manifests by SHA-256.",False,9,0,0,not_applicable_publication_verification,not_applicable,verified_through_source_manifests,verified_through_source_manifests,"[""/Users/mattland/understanding_ITG_NN/understanding_ITG_NN/scripts/xai_s03_review2_artifacts.py""]",publication verification manifest,reports/xai/S03_artifacts/ladder_summary.csv
S03_FIXED_CONVENTION,S03fix,convention-all100-panelfixed1000,reports/xai/S03_fixed_gradient_artifacts/manifest.json,776f10e9d91a96c7810b5544c74096c98ab0ac9fb114dc00e9b2d612ff5c570a,registered_correction,True,Establishes the corrected +3 fixed-gradient convention.,True,3,100,1000,d8ccaec97d5e19f8203466c3b4a147a0c956807b,True,9d8fa52f93f2782ad9948a38bf46943c0cd6df78cd08b94a006dad4e06c1c8ad,d5e092348514a5ee85b68bcdcf51dbb32eaa344beea1daa28f5aaeba9e86eefb,"[""scripts/xai_fixed_gradient_convention.py""]",manifest.config,none
S04,S04,bottleneck-all100-panel1000-top10-shapley,reports/xai/S04_artifacts/manifest.json,8a509ee7fb2c95cc655eecfb4b75b1b018f029933c0c88b97bd06c5ab2320d60,registered_production,True,none,True,16,100,1000,54e6f1bd76f23930a6e853b96e1d09e67d0cbc5d,True,9d8fa52f93f2782ad9948a38bf46943c0cd6df78cd08b94a006dad4e06c1c8ad,d5e092348514a5ee85b68bcdcf51dbb32eaa344beea1daa28f5aaeba9e86eefb,"[""scripts/xai_s04_bottleneck.py""]",manifest.config,reports/xai/S04_artifacts/encoded_vs_used.csv;reports/xai/S04_artifacts/shapley_global.csv
S05,S05,unit-semantics-top2-panel1000,reports/xai/S05_artifacts/manifest.json,778baebed9defca41481b5ee357f6e19d48bd12c058cfafe37634de718f123a9,registered_production,True,none,True,20,2,1000,f0de95981c5063e38f45fb266c6c7b2f526713e7,True,9d8fa52f93f2782ad9948a38bf46943c0cd6df78cd08b94a006dad4e06c1c8ad,d5e092348514a5ee85b68bcdcf51dbb32eaa344beea1daa28f5aaeba9e86eefb,"[""scripts/xai_s05_unit_semantics.py""]",manifest.config,reports/xai/S05_artifacts/unit_motifs.csv
S06A,S06a,attribution-benchmark-top1-panel128,reports/xai/S06a_artifacts/manifest.json,4a2b0a460c857e89be10e9ad70c6de322a31e0ffdcbcbe18f21bc3cb640210eb,registered_production,True,Method selection is qualified by the control-aware decision memo.,True,11,1,128,de7aae68c86c151656092cf07cb13d3c72ddd442,True,9d8fa52f93f2782ad9948a38bf46943c0cd6df78cd08b94a006dad4e06c1c8ad,d5e092348514a5ee85b68bcdcf51dbb32eaa344beea1daa28f5aaeba9e86eefb,"[""scripts/xai_s06a_attribution.py""]",manifest.config,none
