member_id,stored_validation_rank,cohort,bottleneck_width,narrow_bottleneck_C_le_11,kernel_sizes,canonical_function,estimand
2864601_0.437,1,stored_validation_top_10,10,True,13|5|3|8|5,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.371,2,stored_validation_top_10,23,False,3|7|10|10|12,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.409,3,stored_validation_top_10,31,False,5|10|5|11|6,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.386,4,stored_validation_top_10,31,False,10|2|3|12|5,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.355,5,stored_validation_top_10,31,False,6|7|5|7|8,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.449,6,stored_validation_top_10,22,False,10|4|2|12|2,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.340,7,stored_validation_top_10,27,False,3|2|3|7|5,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.296,8,stored_validation_top_10,25,False,15|16|10|9|12,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.270,9,stored_validation_top_10,27,False,3|2|10|6|12,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.352,10,stored_validation_top_10,21,False,4|5|13|8|7,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.487,11,stored_validation_ranks_11_50,32,False,7|12|4|16|2,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.272,12,stored_validation_ranks_11_50,21,False,9|13|2|16|12,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.404,13,stored_validation_ranks_11_50,22,False,5|16|10|2|9,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.274,14,stored_validation_ranks_11_50,22,False,7|11|3|9|13,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.240,15,stored_validation_ranks_11_50,31,False,7|3|12|4|9,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.417,16,stored_validation_ranks_11_50,25,False,5|15|9|11|7,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.494,17,stored_validation_ranks_11_50,27,False,9|13|14|10|10,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.260,18,stored_validation_ranks_11_50,29,False,4|7|4|13|11,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.434,19,stored_validation_ranks_11_50,19,False,5|6|11|10|13,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.460,20,stored_validation_ranks_11_50,26,False,11|2|16|7|7,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.402,21,stored_validation_ranks_11_50,15,False,6|4|11|9|4,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.279,22,stored_validation_ranks_11_50,28,False,5|12|10|10|13,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.353,23,stored_validation_ranks_11_50,25,False,4|2|3|5|8,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.175,24,stored_validation_ranks_11_50,22,False,7|7|2|10|2,invariant_tilde_f,"native max(log Q, -2)"
