member_id,stored_validation_rank,cohort,cluster,bottleneck_width,narrow_bottleneck_C_le_11,prediction_profile_source,input_attribution,causal_signature_validity
2864601_0.437,1,stored_validation_top_10,3,10,True,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.371,2,stored_validation_top_10,2,23,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.409,3,stored_validation_top_10,2,31,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.386,4,stored_validation_top_10,2,31,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.355,5,stored_validation_top_10,2,31,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.449,6,stored_validation_top_10,2,22,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.340,7,stored_validation_top_10,2,27,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.296,8,stored_validation_top_10,2,25,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.270,9,stored_validation_top_10,2,27,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.352,10,stored_validation_top_10,2,21,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.487,11,stored_validation_ranks_11_50,2,32,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.272,12,stored_validation_ranks_11_50,2,21,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.404,13,stored_validation_ranks_11_50,2,22,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.274,14,stored_validation_ranks_11_50,2,22,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.240,15,stored_validation_ranks_11_50,2,31,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.417,16,stored_validation_ranks_11_50,2,25,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.494,17,stored_validation_ranks_11_50,2,27,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.260,18,stored_validation_ranks_11_50,2,29,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.434,19,stored_validation_ranks_11_50,2,19,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.460,20,stored_validation_ranks_11_50,2,26,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.402,21,stored_validation_ranks_11_50,2,15,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.279,22,stored_validation_ranks_11_50,2,28,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.353,23,stored_validation_ranks_11_50,2,25,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.175,24,stored_validation_ranks_11_50,2,22,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.277,25,stored_validation_ranks_11_50,2,31,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.463,26,stored_validation_ranks_11_50,2,23,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.229,27,stored_validation_ranks_11_50,2,22,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.224,28,stored_validation_ranks_11_50,2,27,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.373,29,stored_validation_ranks_11_50,2,20,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.481,30,stored_validation_ranks_11_50,2,22,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.289,31,stored_validation_ranks_11_50,2,27,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.393,32,stored_validation_ranks_11_50,2,28,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.406,33,stored_validation_ranks_11_50,2,24,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.206,34,stored_validation_ranks_11_50,2,28,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.284,35,stored_validation_ranks_11_50,2,29,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
