quantity,member_id,analysis_kind,estimate,ci95_lower,ci95_upper,bootstrap_replicates,bootstrap_unit,estimand,validity_tag,pairing_scope,function,mode,best_lag,circular_spearman,overlap_at_fixed_sparsity,lag_recurrence,source_family,source_id,method
observed_clipped_log_Q,none,paired_fixed_minus_varied_same_geometry,1.5592359570887637,1.4340709846951416,1.6937537299247603,500,equilibrium_files,"native max(log Q, -2)",observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",,,,,,,,,
log10_zonal_phi2,none,paired_fixed_minus_varied_same_geometry,2.7003688001930986,2.430658372613768,2.9866835001767824,500,equilibrium_files,log10 zonal_phi2_amplitudes,observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",,,,,,,,,
member_prediction,2864601_0.437,paired_fixed_minus_varied_same_geometry,1.5445257106721402,1.4250541875293479,1.655407244502939,500,equilibrium_files,"native max(log Q, -2)",observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",original_f,,,,,,,,
member_prediction,2864601_0.371,paired_fixed_minus_varied_same_geometry,1.5357612471282482,1.4241343696057795,1.6605570541895924,500,equilibrium_files,"native max(log Q, -2)",observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",original_f,,,,,,,,
member_prediction,2864601_0.409,paired_fixed_minus_varied_same_geometry,1.5504693716913462,1.425219888956286,1.676236102485843,500,equilibrium_files,"native max(log Q, -2)",observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",original_f,,,,,,,,
member_prediction,2864601_0.437,paired_fixed_minus_varied_same_geometry,1.5419622441604734,1.4282576971028,1.6649544509513303,500,equilibrium_files,"native max(log Q, -2)",observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",invariant_tilde_f,,,,,,,,
member_prediction,2864601_0.371,paired_fixed_minus_varied_same_geometry,1.533767329275608,1.417472628159076,1.6655956004202366,500,equilibrium_files,"native max(log Q, -2)",observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",invariant_tilde_f,,,,,,,,
member_prediction,2864601_0.409,paired_fixed_minus_varied_same_geometry,1.5457759965211153,1.410071203334816,1.6727085911681874,500,equilibrium_files,"native max(log Q, -2)",observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",invariant_tilde_f,,,,,,,,
Q_avgs_vs_z,none,physical_Qz_fixed_vs_varied_same_geometry,,0.7098055868095519,0.7602348383147107,,equilibrium_files,,observed-comparison,"same geometry, different registered simulation drives",,signed,0,0.7355389542305631,0.588,1.0,,,
Q_avgs_vs_z,none,physical_Qz_fixed_vs_varied_same_geometry,,0.7098546849770597,0.760008843964986,,equilibrium_files,,observed-comparison,"same geometry, different registered simulation drives",,positive_contribution,0,0.7361687489023923,0.588,1.0,,,
learned_Qz_spatial_spearman,2864601_0.437,paired_fixed_minus_varied_same_geometry,-0.037859072707139,-0.0540769747314226,-0.021206268946103512,500,equilibrium_files,fixed-minus-varied within-tube Spearman at each set's selected lag,observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",,signed,,,,,s05_density,2864601_0.437:u001,
learned_Qz_spatial_spearman,2864601_0.437,paired_fixed_minus_varied_same_geometry,-0.03784652447117983,-0.053733478998322655,-0.02143376294334941,500,equilibrium_files,fixed-minus-varied within-tube Spearman at each set's selected lag,observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",,positive_contribution,,,,,s05_density,2864601_0.437:u001,
learned_Qz_spatial_spearman,2864601_0.437,paired_fixed_minus_varied_same_geometry,-0.038499144955413865,-0.053904201832424024,-0.02396900709650485,500,equilibrium_files,fixed-minus-varied within-tube Spearman at each set's selected lag,observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",,signed,,,,,s05_density,2864601_0.437:u008,
learned_Qz_spatial_spearman,2864601_0.437,paired_fixed_minus_varied_same_geometry,-0.0385411329783674,-0.053740434042614464,-0.025252822325616847,500,equilibrium_files,fixed-minus-varied within-tube Spearman at each set's selected lag,observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",,positive_contribution,,,,,s05_density,2864601_0.437:u008,
learned_Qz_spatial_spearman,2864601_0.437,paired_fixed_minus_varied_same_geometry,0.005596000348703934,-0.0026290694480799078,0.013954199202307692,500,equilibrium_files,fixed-minus-varied within-tube Spearman at each set's selected lag,observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",,signed,,,,,s05_density,2864601_0.437:u003,
learned_Qz_spatial_spearman,2864601_0.437,paired_fixed_minus_varied_same_geometry,0.005532889305486075,-0.002728171587174237,0.013344928207386003,500,equilibrium_files,fixed-minus-varied within-tube Spearman at each set's selected lag,observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",,positive_contribution,,,,,s05_density,2864601_0.437:u003,
learned_Qz_spatial_spearman,2864601_0.371,paired_fixed_minus_varied_same_geometry,0.012665165051305063,-0.0007676396679282623,0.02671448944621478,500,equilibrium_files,fixed-minus-varied within-tube Spearman at each set's selected lag,observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",,signed,,,,,s05_density,2864601_0.371:u017,
learned_Qz_spatial_spearman,2864601_0.371,paired_fixed_minus_varied_same_geometry,0.012680266141485163,-0.001706887165671907,0.0273215871155991,500,equilibrium_files,fixed-minus-varied within-tube Spearman at each set's selected lag,observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",,positive_contribution,,,,,s05_density,2864601_0.371:u017,
learned_Qz_spatial_spearman,2864601_0.371,paired_fixed_minus_varied_same_geometry,-0.00486248287431543,-0.010650830720339712,0.0016333152036140935,500,equilibrium_files,fixed-minus-varied within-tube Spearman at each set's selected lag,observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",,signed,,,,,s05_density,2864601_0.371:u004,
learned_Qz_spatial_spearman,2864601_0.371,paired_fixed_minus_varied_same_geometry,-0.004801596810430889,-0.010899990074146942,0.001674167578785527,500,equilibrium_files,fixed-minus-varied within-tube Spearman at each set's selected lag,observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",,positive_contribution,,,,,s05_density,2864601_0.371:u004,
learned_Qz_spatial_spearman,2864601_0.371,paired_fixed_minus_varied_same_geometry,-0.01714018635322749,-0.027819700060055304,-0.004897896353196084,500,equilibrium_files,fixed-minus-varied within-tube Spearman at each set's selected lag,observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",,signed,,,,,s05_density,2864601_0.371:u019,
learned_Qz_spatial_spearman,2864601_0.371,paired_fixed_minus_varied_same_geometry,-0.01722367286126909,-0.02916388052478395,-0.004541538492400027,500,equilibrium_files,fixed-minus-varied within-tube Spearman at each set's selected lag,observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",,positive_contribution,,,,,s05_density,2864601_0.371:u019,
learned_Qz_spatial_spearman,2864601_0.409,paired_fixed_minus_varied_same_geometry,-0.03205293654512463,-0.04776198499451473,-0.01850828873110473,500,equilibrium_files,fixed-minus-varied within-tube Spearman at each set's selected lag,observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",,signed,,,,,s05_density,2864601_0.409:u014,
learned_Qz_spatial_spearman,2864601_0.409,paired_fixed_minus_varied_same_geometry,-0.03186071241923835,-0.04540797680733996,-0.015425717147358799,500,equilibrium_files,fixed-minus-varied within-tube Spearman at each set's selected lag,observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",,positive_contribution,,,,,s05_density,2864601_0.409:u014,
learned_Qz_spatial_spearman,2864601_0.409,paired_fixed_minus_varied_same_geometry,0.27788018916618856,0.2491569004515761,0.3054258748405519,500,equilibrium_files,fixed-minus-varied within-tube Spearman at each set's selected lag,observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",,signed,,,,,s05_density,2864601_0.409:u021,
learned_Qz_spatial_spearman,2864601_0.409,paired_fixed_minus_varied_same_geometry,0.2776225829431529,0.24932305021688442,0.3049735493157847,500,equilibrium_files,fixed-minus-varied within-tube Spearman at each set's selected lag,observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",,positive_contribution,,,,,s05_density,2864601_0.409:u021,
learned_Qz_spatial_spearman,2864601_0.409,paired_fixed_minus_varied_same_geometry,0.029303597575772052,0.016928933468618464,0.04394083498017752,500,equilibrium_files,fixed-minus-varied within-tube Spearman at each set's selected lag,observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",,signed,,,,,s05_density,2864601_0.409:u027,
learned_Qz_spatial_spearman,2864601_0.409,paired_fixed_minus_varied_same_geometry,0.0293888609320802,0.015374342851672019,0.04413113246062501,500,equilibrium_files,fixed-minus-varied within-tube Spearman at each set's selected lag,observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",,positive_contribution,,,,,s05_density,2864601_0.409:u027,
learned_Qz_spatial_spearman,2864601_0.437,paired_fixed_minus_varied_same_geometry,-0.026138395500817705,-0.03593398619950589,-0.016967016166119443,500,equilibrium_files,fixed-minus-varied within-tube Spearman at each set's selected lag,observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",original_f,signed,,,,,s06_attribution,ig_low_pass:channel_position_marginal,ig_low_pass
learned_Qz_spatial_spearman,2864601_0.437,paired_fixed_minus_varied_same_geometry,0.06681425647496986,0.05335492150164354,0.08110790133997826,500,equilibrium_files,fixed-minus-varied within-tube Spearman at each set's selected lag,observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",original_f,positive_contribution,,,,,s06_attribution,ig_low_pass:channel_position_marginal,ig_low_pass
learned_Qz_spatial_spearman,2864601_0.371,paired_fixed_minus_varied_same_geometry,0.014782696699625456,0.004510406843717111,0.024229562859378995,500,equilibrium_files,fixed-minus-varied within-tube Spearman at each set's selected lag,observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",original_f,signed,,,,,s06_attribution,ig_low_pass:channel_position_marginal,ig_low_pass
learned_Qz_spatial_spearman,2864601_0.371,paired_fixed_minus_varied_same_geometry,0.07203046042286251,0.058527632955594495,0.0864444046317786,500,equilibrium_files,fixed-minus-varied within-tube Spearman at each set's selected lag,observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",original_f,positive_contribution,,,,,s06_attribution,ig_low_pass:channel_position_marginal,ig_low_pass
learned_Qz_spatial_spearman,2864601_0.409,paired_fixed_minus_varied_same_geometry,-0.0017923432767656421,-0.011490190531399658,0.007144981867978952,500,equilibrium_files,fixed-minus-varied within-tube Spearman at each set's selected lag,observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",original_f,signed,,,,,s06_attribution,ig_low_pass:channel_position_marginal,ig_low_pass
