candidate_id,hypothesis,status,claim_grade,function_scope,regime,uncertainty,negative_results,bottleneck_shapley,unit_semantics,input_attribution,supported_perturbation,hidden_encoding,hidden_intervention,cross_model_consensus,distillation,Q_z,zonal_flow,natural_experiment,linked_evidence_count,linked_method_family_count
localized_f_Q_integrand_peak,The ensemble uses a localized 25-point f_Q-integrand peak as a learned geometry mechanism.,supported,observational-physical; causal unresolved,original f reported where spatial; primary mechanism evidence on invariant_tilde_f members; ensemble mean separate,unstable evidence primary; stable/near-floor limitations retained,equilibrium bootstrap plus cross-member recurrence,Only one unit anchors the seven-member motif; signed Q(z) attribution is near null; AIPW resolves 0/7 folds.,E04_FQ_U001_SHAPLEY,E05_FQ_U001_SEMANTICS,not_candidate_specific,E04_FQ_DIRECTION_REMOVAL,E08_FQ_ENCODING,E08_FQ_USE,E10_FQ_MOTIF,E12_FQ_RECURRENCE,E07_FQ_QZ,E13_FQ_ZONAL,E13_FQ_NATURAL,10,9
f_stab,The network uses f_stab-related geometry and that feature tracks physical GX outcomes.,supported,observational-physical; causal unresolved,invariant_tilde_f members; observed GX outcomes separate,pooled model-use claim with regime limits; fixed physical panel all rows,"equilibrium-held-out probes, grouped intervals, and bootstrap term recurrence",No uniquely named S05 unit or cross-member motif; f_stab is already in the paper baseline and fails S13 causal gates.,not_candidate_specific,not_supported_by_S05,not_candidate_specific,E04_FSTAB_DIRECTION_REMOVAL,E08_FSTAB_ENCODING,E08_FSTAB_USE,not_semantically_anchored,E12_FSTAB_RECURRENCE,E13_FSTAB_QZ,E13_FSTAB_ZONAL,E13_FSTAB_NATURAL,7,6
bad_curvature_compression,"Bad-curvature/flux-compression structure is learned, with an effect that depends on drive and representation depth.",regime-dependent,observational-physical; causal unresolved,invariant_tilde_f members; observed GX outcomes separate,depth- and drive-dependent signs; stable and unstable kept separate,"equilibrium grouping, member agreement, term recurrence, and seven fold assignments",No resolved high-minus-low drive contrast; adjusted physical result resolves in only 2/7 folds; severe balance/overlap failure.,not_uniquely_identified,E05_BAD_SEMANTICS,E06_BAD_CHANNEL_ATTRIBUTION,not_candidate_specific,E08_BAD_ENCODING,E08_BAD_USE,E10_BAD_MOTIF,E09_BAD_DRIVE_DEPENDENCE;E12_BAD_RECURRENCE,E13_BAD_QZ,E13_BAD_ZONAL,E13_BAD_NATURAL,10,10
geodesic_curvature_compression,Geodesic-curvature/compression is a learned but member-variable feature carrying independent physical information.,regime-dependent,observational-physical; causal unresolved,invariant_tilde_f members; observed GX outcomes separate,depth-dependent hidden effect; fixed-panel physical evidence strongest on unstable rows,"equilibrium bootstrap, member/layer replication, term recurrence, and seven fold assignments",Distillation recurrence is only 0.27-0.60 and no cross-member semantic motif was established; causal gates fail.,E04_GEO_U008_SHAPLEY,E05_GEO_U008_SEMANTICS,not_candidate_specific,not_candidate_specific,E08_GEO_ENCODING,E08_GEO_USE,not_semantically_anchored,E12_GEO_RECURRENCE,E13_GEO_QZ,E13_GEO_ZONAL,E13_GEO_NATURAL,8,8
cross_channel_colocation,The network uses alignment/co-location among geometry channels.,supported,model-mechanistic only,invariant_tilde_f member functions,pooled use with regime-specific intervention limits,"member ranges, whole-equilibrium resampling, and hidden counterexample controls",The independent-shift edit is deliberately off-manifold and does not isolate a realizable equilibrium change.,not_tested,not_uniquely_named,not_candidate_specific,E03_ALIGNMENT_PERTURBATION,E08_COLOCATION_ENCODING,E08_COLOCATION_USE,not_tested,E09_COLOCATION_DRIVE,not_tested,not_tested,not_tested,4,4
low_frequency_order_envelope,Parallel order or the low-frequency spatial envelope matters beyond a multiset of local vectors.,unresolved,model-mechanistic family supported; decomposition unresolved,invariant_tilde_f member functions,varied-gradient panel all rows with strata retained upstream,member ranges and grouped intervals within registered perturbations,Joint permutation and low-band attenuation change multiple structures; order and envelope remain inseparable.,not_tested,not_tested,E06_LOW_PASS_PATH,E03_ORDER_PERMUTATION;E03_LOW_BAND_ATTENUATION;E03_HIGH_BAND_CONTROL,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,4,3
coarse_channel_consensus,Members share a coarse channel-level representation but not one precise signed spatial mechanism.,supported,model-mechanistic only,original f and invariant_tilde_f reported separately; all-100 representation comparison,fixed and varied panels; stable feature claims prohibited upstream,"pairwise member agreement, grouped CKA intervals, and rank cohorts","Cellwise sign agreement is far below perfect; CKA is representation similarity, not identical computation.",not_candidate_specific,not_candidate_specific,E06_CHANNEL_AGREEMENT,not_tested,not_tested,not_tested,E10_REPRESENTATION_CONSENSUS,not_tested,not_tested,not_tested,not_tested,2,2
direct_Qz_spatial_focus,The model assigns signed spatial credit where GX transports heat.,contradicted,contradicted as a shared signed mechanism,invariant_tilde_f primary and original f comparison retained upstream,unstable rows primary; stable rows do not permit feature claims,"whole-equilibrium intervals, full 96-lag permutation null, and member replication",Signed attribution correlations are -0.021 to -0.012 with incompatible lags; positive-only resemblance discards negative evidence.,not_applicable,not_applicable,E07_ATTRIBUTION_QZ_NULL,not_tested,E08_LOCAL_QZ_ENCODING,E08_LOCAL_QZ_USE,not_supported,not_tested,E07_DENSITY_QZ_CONTRADICTION,not_applicable,not_tested,4,4
zonal_flow_mechanism,The network encodes and uses GX zonal-flow magnitude as a hidden mechanism.,contradicted,contradicted as a learned-use claim; observational association only,invariant_tilde_f hidden representations compared with observed GX diagnostic,fixed and varied panels; stable and unstable retained,"held-out probes, matched hidden controls, grouped physical associations","Median encoding R2 is near zero, 0/15 use claims pass, and fixed-drive associations are not candidate-specific.",not_applicable,not_supported,not_tested,not_applicable,E08_ZONAL_ENCODING_NULL,E08_ZONAL_USE_NULL,not_supported,not_causal_input,not_applicable,E07_ZONAL_NONSPECIFIC,not_tested,3,3
compact_invariant_formula,"A compact invariant feature table reproduces most, but not all, of multiple member functions.",supported,model-fidelity result; physical accuracy separately measured upstream,three invariant_tilde_f members and their mean; true GX target separate,all-row fidelity with stable MSE and unstable R2 reported separately upstream,"equilibrium-held-out folds and 2,000-draw grouped intervals",Only 13/64 bottleneck units reach R2 >= 0.8; residual errors remain much larger than network GX errors; PySR is deferred.,not_applicable,not_one_name_per_unit,not_applicable,not_applicable,E09_FULL_COMPLETENESS,not_applicable,not_tested_beyond_three_members,E12_MEMBER_FIDELITY;E12_INTERACTION_GAIN,not_causal_input,not_causal_input,not_applicable,3,2
